rank;Mountain name(s);Height_m;Height_ft;Prominence_m;Prominence_ft;Range;latitude;longitude;Parent mountain;ascents_first;ascents_before_2004_successful;ascents_before_2004_unsuccessful;country
1;Mount Everest Sagarmath Chomolungma;8848.86;29031.7;8848;29029;Mahalangur Himalaya;27.98805556;86.92527778;-;1953;145;121;Nepal China
2;K2;8611;28251;4020;13190;Baltoro Karakoram;35.88138889;76.51333333;Mount Everest;1954;45;44;Pakistan China
3;Kangchenjunga;8586;28169;3922;12867;Kangchenjunga Himalaya;27.70333333;88.1475;Mount Everest;1955;38;24;Nepal India
4;Lhotse;8516;27940;610;2000;Mahalangur Himalaya;27.96166667;86.93305556;Mount Everest;1956;26;26;Nepal China
5;Makalu;8485;27838;2378;7802;Mahalangur Himalaya;27.88972222;87.08888889;Mount Everest;1955;45;-;Nepal China
6;Cho Oyu;8188;26864;2340;7680;Mahalangur Himalaya;28.09416667;86.66083333;Mount Everest;1954;79;28;Nepal China
7;Dhaulagiri I;8167;26795;3357;11014;Dhaulagiri Himalaya;28.69666667;83.49305556;K2;1960;51;39;Nepal
8;Manaslu;8163;26781;3092;10144;Manaslu Himalaya;28.55;84.55972222;Cho Oyu;1956;49;45;Nepal
9;Nanga Parbat;8126;26660;4608;15118;Nanga Parbat Himalaya;35.23722222;74.58916667;Dhaulagiri;1953;52;67;Pakistan
10;Annapurna I;8091;26545;2984;9790;Annapurna Himalaya;28.59555556;83.82027778;Cho Oyu;1950;97;88;Nepal
11;Gasherbrum I Hidden Peak K5;8080;26510;2155;7070;Baltoro Karakoram;35.72444444;76.69638889;K2;1958;31;16;Pakistan China
12;Broad Peak;8051;26414;1701;5581;Baltoro Karakoram;35.81055556;76.56833333;Gasherbrum I;1957;39;19;Pakistan China
13;Gasherbrum II K4;8035;26362;1524;5000;Baltoro Karakoram;35.75777778;76.65333333;Gasherbrum I;1956;54;12;Pakistan China
14;Shishapangma Gosainthan;8027;26335;2897;9505;Jugal Himalaya;28.35333333;85.77861111;Cho Oyu;1964;43;19;China
15;Gyachung Kang;7952;26089;672;2205;Mahalangur Himalaya;28.09805556;86.745;Cho Oyu;1964;5;3;Nepal China
16;Gasherbrum III K3a;7946;26070;355;1165;Baltoro Karakoram;35.75916667;76.64166667;Gasherbrum II;1975;2;2;Pakistan China
17;Annapurna II;7937;26040;2437;7995;Annapurna Himalaya;28.53472222;84.12194444;Annapurna I;1960;6;19;Nepal
18;Gasherbrum IV K3;7932;26024;712;2336;Baltoro Karakoram;35.76055556;76.61611111;Gasherbrum III;1958;4;11;Pakistan
19;Himalchuli;7893;25896;1633;5358;Manaslu Himalaya;28.43666667;84.63972222;Manaslu;1960;6;12;Nepal
20;Distaghil Sar;7884;25866;2525;8284;Hispar Karakoram;36.32583333;75.18777778;K2;1960;3;5;Pakistan
21;Ngadi Chuli;7871;25823;1011;3317;Manaslu Himalaya;28.50333333;84.56666667;Manaslu;1979;1;6;Nepal
22;Nuptse;7864;25801;305;1001;Mahalangur Himalaya;27.9675;86.88694444;Lhotse;1961;5;12;Nepal
23;Khunyang Chhish;7823;25666;1765;5791;Hispar Karakoram;36.20527778;75.20777778;Distaghil Sar;1971;2;6;Pakistan
24;Masherbrum K1;7821;25659;2457;8061;Masherbrum Karakoram;35.64111111;76.30583333;Gasherbrum I;1960;4;9;Pakistan
25;Nanda Devi;7816;25643;3139;10299;Garhwal Himalaya;30.37583333;79.97083333;Dhaulagiri;1936;14;12;India
26;Chomo Lonzo;7804;25604;590;1940;Mahalangur Himalaya;27.93055556;87.10777778;Makalu;1954;3;1;China
27;Batura Sar;7795;25574;3118;10230;Batura Karakoram;36.51027778;74.5225;Distaghil Sar;1976;4;6;Pakistan
28;Rakaposhi;7788;25551;2818;9245;Rakaposhi-Haramosh Karakoram;36.1425;74.48944444;Khunyang Chhish;1958;8;13;Pakistan
29;Kanjut Sar;7760;25460;1660;5450;Hispar Karakoram;36.20555556;75.41694444;Khunyang Chhish;1959;2;1;Pakistan
30;Kamet;7756;25446;2825;9268;Garhwal Himalaya;30.92;79.59166667;Nanda Devi;1931;23;14;India
31;Dhaulagiri II;7751;25430;2397;7864;Dhaulagiri Himalaya;28.76277778;83.38833333;Dhaulagiri;1971;4;11;Nepal
32;Saltoro Kangri K10;7742;25400;2160;7090;Saltoro Karakoram;35.39916667;76.84805556;Gasherbrum I;1962;2;1;India Pakistan
